GrLivArea,SalePrice
1991,3441
1992,3515
1993,3686
1994,3808
1995,4010
1996,4336
1997,4629
1998,4872
1999,5155
2000,5352
2001,5626
2002,5926
2003,6324
2004,6773
2005,7166
2006,7421
2007,7524
2008,7654
2009,7857
2010,8041
2011,8295
2012,8792
2013,9367
2014,9787
2015,10231
2016,10469
2017,10545
2018,10658
2019,10808
1990,2123668
1991,2181404
1992,2234150
1993,2292906
1994,2344349
1995,2405653
1996,2465637
1997,2514872
1998,2584692
1999,2669275
2000,2755517
2001,2811586
2002,2872606
2003,2949432
2004,3046554
2005,3104445
2006,3118213
2007,3164261
2008,3231713
2009,3300889
2010,3379630
2011,3441301
2012,3487351
2013,3528244
2014,3593731
2015,3653914
2016,3748229
2017,3842668
2018,3956856
2019,4090361
1990,192228
1991,197838
1992,204305
1993,210981
1994,217860
1995,225267
1996,231807
1997,239558
1998,245947
1999,253398
2000,261294
2001,269905
2002,277848
2003,286114
2004,293975
2005,302243
2006,311207
2007,319672
2008,331687
2009,343319
2010,354148
2011,364949
2012,377589
2013,391895
2014,406264
2015,420729
2016,434638
2017,447954
2018,462562
2019,477361
1990,6238
1991,6751
1992,6887
1993,6963
1994,7143
1995,7258
1996,7685
1997,7721
1998,8174
1999,8452
2000,8674
2001,8802
2002,9989
2003,10762
2004,11309
2005,12035
2006,12616
2007,13076
2008,13517
2009,13795
2010,14163
2011,14346
2012,15063
2013,15472
2014,15648
2015,15717
2016,16294
2017,16808
2018,17279
2019,17627
2008,42135
2009,44866
2010,46171
2011,47360
2014,50183
2015,52885
2016,54414
1990,23605
1991,23951
1992,24212
1993,25319
1994,26295
1995,26667
1996,27486
1997,28493
1998,29155
1999,30113
2000,30582
2001,32833
2002,34528
2003,36300
2004,37419
2005,38242
2006,39646
2007,40485
2012,48813
2013,48629
2017,55291
2018,56627
2019,57934
1990,2601
1991,2684
1992,2857
1993,3014
1994,3187
1995,3203
1996,3339
1997,3596
1998,3908
1999,3852
2000,3951
2001,4039
2002,4025
2003,4201
2004,4408
2005,4522
2006,4610
2007,4633
2008,4581
2009,4823
2010,4670
2011,4839
2012,4683
2013,4931
2014,5297
2015,5408
